URL,INLINK_COUNT,OUTLINK_COUNT,CRAWL_DEPTH,PARENT_HUB,ORPHAN,BROKEN_LINKS
/,10,20,0,NONE,FALSE,0
/servicii/,11,10,1,/,FALSE,0
/animatori-petreceri-copii-bucuresti/,2,5,1,/,FALSE,0
/animatori-petreceri-copii-ilfov/,2,5,1,/,FALSE,0
/animatori-petreceri-copii/,2,5,1,/,FALSE,0
/contact/,2,1,1,/,FALSE,0
/decoratiuni-baloane-bucuresti/,2,2,1,/servicii/,FALSE,0
/mascote-petreceri-copii/,2,2,1,/servicii/,FALSE,0
/animatori-pe-picioroange/,2,2,1,/servicii/,FALSE,0
/magician-petreceri-copii/,2,2,1,/servicii/,FALSE,0
/vata-de-zahar-popcorn-evenimente/,2,2,1,/servicii/,FALSE,0
