SOURCE,ASSET,STATUS
src/components/BrandLogo.astro,/animaparty-logo-mark.svg,PASS
src/components/EeatStats.astro,/hero-kids.png,PASS
src/components/Gallery.astro,/animaparty-petrecere-copii-01.png,PASS
src/components/Gallery.astro,/animaparty-petrecere-copii-02.png,PASS
src/components/Gallery.astro,/animaparty-petrecere-copii-03.png,PASS
src/components/Gallery.astro,/animaparty-petrecere-copii-04.png,PASS
src/components/Hero.astro,/hero-real.png,PASS
src/components/Services.astro,/service-balloon.png,PASS
src/components/Services.astro,/service-face-painting.png,PASS
src/components/Services.astro,/service-games.png,PASS
src/components/Services.astro,/service-princess.png,PASS
src/pages/animatori-pe-picioroange.astro,/gallery-dance.png,PASS
src/pages/animatori-pe-picioroange.astro,/hero-bg-v4.jpg,PASS
src/pages/animatori-pe-picioroange.astro,/hero-real.png,PASS
src/pages/animatori-petreceri-copii-bucuresti.astro,/hero-bucuresti.webp,PASS
src/pages/animatori-petreceri-copii-bucuresti.astro,/service-face-painting.png,PASS
src/pages/animatori-petreceri-copii-bucuresti.astro,/service-games.png,PASS
src/pages/animatori-petreceri-copii-ilfov.astro,/animaparty-jocuri-interactive.webp,PASS
src/pages/animatori-petreceri-copii-ilfov.astro,/gallery-dance.png,PASS
src/pages/animatori-petreceri-copii-ilfov.astro,/hero-bg-v4.jpg,PASS
src/pages/animatori-petreceri-copii.astro,/service-balloon.png,PASS
src/pages/animatori-petreceri-copii.astro,/service-face-painting.png,PASS
src/pages/animatori-petreceri-copii.astro,/service-games.png,PASS
src/pages/decoratiuni-baloane-bucuresti.astro,/gallery-lux-2.png,PASS
src/pages/decoratiuni-baloane-bucuresti.astro,/gallery-lux-3.png,PASS
src/pages/decoratiuni-baloane-bucuresti.astro,/hero-luxury.png,PASS
src/pages/magician-petreceri-copii.astro,/animaparty-petrecere-copii-03.png,PASS
src/pages/magician-petreceri-copii.astro,/gallery-cake.png,PASS
src/pages/magician-petreceri-copii.astro,/hero-real.png,PASS
src/pages/mascote-petreceri-copii.astro,/animaparty-mascota-fairy.jpg,PASS
src/pages/mascote-petreceri-copii.astro,/char-mascot.png,PASS
src/pages/mascote-petreceri-copii.astro,/char-superhero.png,PASS
src/pages/servicii.astro,/char-mascot.png,PASS
src/pages/servicii.astro,/hero-luxury.png,PASS
src/pages/servicii.astro,/hero-real.png,PASS
src/pages/servicii.astro,/service-princess.png,PASS
src/pages/vata-de-zahar-popcorn-evenimente.astro,/gallery-cake.png,PASS
src/pages/vata-de-zahar-popcorn-evenimente.astro,/hero-bg-v4.jpg,PASS
src/pages/vata-de-zahar-popcorn-evenimente.astro,/hero-real.png,PASS
