URL,PRIMARY_QUERY,LAST_CONFIRMED_GOOGLE_DATA,CLICKS,IMPRESSIONS,AVERAGE_POSITION,TOP3_GATE,STATUS
/,animatori pentru petreceri copii București și Ilfov,2026-08-06,22,728,,FAIL,NO_TOP3_QUERY_PROOF_YET
/animatori-petreceri-copii-bucuresti/,animatori petreceri copii București,2026-08-06,0,10,20.3,FAIL,BELOW_TOP3_PRE_BATCH
/animatori-petreceri-copii-ilfov/,animatori petreceri copii Ilfov,2026-08-06,0,23,13.3,FAIL,BELOW_TOP3_PRE_BATCH
/animatori-petreceri-copii/,cum alegi animator pentru petrecere copii,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
/servicii/,servicii petreceri copii București Ilfov,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
/mascote-petreceri-copii/,închiriere mascote petreceri copii București,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
/animatori-pe-picioroange/,animatori pe picioroange București,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
/decoratiuni-baloane-bucuresti/,decorațiuni baloane București,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
/magician-petreceri-copii/,magician petreceri copii București,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
/vata-de-zahar-popcorn-evenimente/,vată de zahăr popcorn evenimente București,2026-08-06,0,0,,FAIL,NO_DEDICATED_PAGE_DATA_YET
