"URL","NORMAL_STATUS","GOOGLEBOT_STATUS","TITLE_PARITY","H1_PARITY","CANONICAL_PARITY","ROBOTS_PARITY","LINK_JACCARD","RAW_TEXT_PARITY","RENDERED_TEXT_PARITY","STATUS"
"/","200","200","true","true","true","true","1.000","true","true","PASS"
"/animatori-petreceri-copii-bucuresti/","200","200","true","true","true","true","1.000","true","true","PASS"
"/animatori-petreceri-copii-ilfov/","200","200","true","true","true","true","1.000","true","true","PASS"
"/animatori-petreceri-copii/","200","200","true","true","true","true","1.000","true","true","PASS"
"/servicii/","200","200","true","true","true","true","1.000","true","true","PASS"
"/mascote-petreceri-copii/","200","200","true","true","true","true","1.000","true","true","PASS"
"/animatori-pe-picioroange/","200","200","true","true","true","true","1.000","true","true","PASS"
"/decoratiuni-baloane-bucuresti/","200","200","true","true","true","true","1.000","true","true","PASS"
"/magician-petreceri-copii/","200","200","true","true","true","true","1.000","true","true","PASS"
"/vata-de-zahar-popcorn-evenimente/","200","200","true","true","true","true","1.000","true","true","PASS"
"/contact/","200","200","true","true","true","true","1.000","true","true","PASS"
