PATH,SIZE_BYTES,SHA256
ANTIGRAVITY_DEPLOY_INSTRUCTIONS.md,12177,9bc976855d58aaeb7a4bcb804b6fb75c48e0f1d87878246ffdd11747a4c4a313
CHATGPT_SOURCE_HANDOFF.json,746,4512c17619236cd2753354077c87dad81a44f3c76626b740d8ba57038f6f4ed6
README.md,1102,ebe35618a561fb32beca6239116836116b9f8b233f98785688b085fa6c6cc194
astro.config.mjs,181,841e378d71a8af5afdea55377696986d7cb9e7f1bc8df42634d8646b58dcd2c1
docs/BATCH1_ASSET_GATE.csv,2606,2482e2783c4c5c72cbb7c7ac88c069f236eac11bdaa5465187ba5a092f46a175
docs/BATCH1_ASSET_GATE.json,98,278807ea21bfcd4154e8777883314b59203f58150bf98b55dcbe7b9f11df6d63
docs/BATCH1_CANNIBALIZATION.csv,94,2afd6bf20c0471ec6803ce98c1a688a798bb6d1db819c589d63111fd99efe0d5
docs/BATCH1_COMPETITOR_SOURCES.md,3386,9356d2b46aa2f7425fb92d6b1cce1e8cc7e34fd69bd75a75c86c664be481fa98
docs/BATCH1_GATE_RESULT.json,106,8a44e0ea41aa672e46a7658b31c26695868988b9ef05d6791fc66c8e080f859e
docs/BATCH1_GOOGLE_UNDERSTANDING_MAP.csv,1701,ada5181337042847c591c1dcab1f880f98e7a22d4b03047c634fe24b8b25540e
docs/BATCH1_GSC_BASELINE_20260809.json,784,c2848baff8d78239c214b6fd5df12a8245f43873f41b4e0c93c5dcfb1a17c7e7
docs/BATCH1_INTERNAL_LINK_SOURCE_GATE.csv,3086,eedd9714a636600c0804eeaba13a752690c6bc96b5245bbb897c409474172ac4
docs/BATCH1_INTERNAL_LINK_SOURCE_GATE.json,62,def4d54aca6cc539b48cffb129fc6dfc5dbba07c73d0982081f81e622e2ef9bd
docs/BATCH1_LOCAL_BUILD_STATUS.md,629,92eab26d143732ffb908f488d25e428628bd5a21fdda449da412236cfd68407c
docs/BATCH1_LOCAL_NPM_CI.log,584,8a5b89ee3c6490f9b0609000a9a04bd17b9e52aa40f2f94fd881340fcf1538ba
docs/BATCH1_PAGE_GATE.csv,2450,c736837d05a2357176d6750aa993d8eb08b83a123b862604b6c6685c0f0ccda0
docs/BATCH1_RANK_GATE.csv,1240,8144e8b4ee9a44591b8fb748cfe776f5ce9b3a5bade910ab9c5032be398d3bc9
docs/BATCH1_RELEASE_PLAN.json,744,e06cf0574f404f037d5ca7ef570761ce74b0fbad22ff155f28139b3cf188f743
docs/BATCH1_SEAL_RESULT.json,1964,d24cd2d0d45179253c4f95fe26438b3398181fd003c10d712337b74fd8382170
docs/BATCH1_STATIC_FINAL_REPORT.md,3416,f568bb73f7ab7d526c23fea18f68b75f8520dd049ce2f699562e7330297113ca
docs/BATCH1_TOP10_COMPETITOR_BENCHMARK.csv,5316,a4db111ad93ed309cda79c0dfb8279b6aca6f81ff4ed22c743ed61a2beb8ec6c
package-lock.json,230439,918f5381b8c4be4e5616e796ad0f3b055d0f2c9f1209961e50f79ab246db58dd
package.json,1010,b532909acd595c7c5cf38912ffc95c032fbcd027b40ebf8231f9bb66753baadc
public/animaparty-jocuri-interactive.webp,182382,753f9962dbaa6f4a4a67029ffc8f74a003741e22458725a5ba66b07f4b1d9b08
public/animaparty-logo-mark.svg,692,1296fba5d377087b0cd566c69dc29e235097cbc513596b25a70c6d1dc7d06447
public/animaparty-mascota-fairy.jpg,1017009,b138acfad40fdf118f718cc6def7029d16f701c1a814992a1780b61006ad07bf
public/animaparty-petrecere-copii-01.png,744121,4abee8c62b61d4577d9ddc4c75b52cd8a9959ee5c8a93e8b20418139e83b425e
public/animaparty-petrecere-copii-02.png,687329,86ae7d263c16120d3f1a25ca4f06bc2983d20c6954ef752199fb694ae576d51c
public/animaparty-petrecere-copii-03.png,725316,3e306c487f1aa587afe064fb2a52bd1183efc0b4a806209ffaa8606fbed8f289
public/animaparty-petrecere-copii-04.png,717167,7192ace373ef0e48462fd79d7e97844a8739dfdd82c0116acc8c049894c0a361
public/build-identity.json,335,dc96636c33d6f15e65ce24df2843c81254d9d4e2ebed7aaa8994c8636bef72df
public/char-mascot.png,882477,d1e47e4a42c6019841aec65167d8e659ed3cab41abf9d623d46ab6299b6e4c82
public/char-superhero.png,869203,666d42557ef73ec342c9db9e69e2c5360d8f3fe37936870ce54fa8613f860ebc
public/comp-group.png,1032386,95adcf3aed9660f36c6cdd5dfb4d08bdc60eff1db91e624416bd760575751e53
public/favicon.ico,655,09d2ac08d8cca9b6e1f90221f345a8c4dd0371c64a0dc52b6f96fc589b1e3d67
public/favicon.svg,749,2d7a310283d6f9cc753210d83224cd6db6348cb82a5536348884e5831d46203f
public/gallery-cake.png,836456,cba8c0c301130fa6210cf8d76c063c3842ade2821829f716b79d1ced7712cbd6
